lp,src,mt,ref,raw,score
cs-en,Incident by mohl opět vyvolat diskuzi ohledně bezpečnosti materiálů použitých k obložení výškových budov po celém světě.,The incident could again spark a discussion about the safety of materials used to panelling high-rise buildings around the world.,The incident may revive questions about the safety of materials used on the exteriors of tall buildings across the world.,94.0,0.796560564998067
cs-en,"Cornell-Duranleau byl prohlášen na místě za mrtvého a detektivové vyšetřují případ jako vraždu. Policie mezitím pátrá po obou podezřelých, uvedly úřady.","Cornell-Duranleau was pronounced dead at the scene, and detectives are investigating the case as a homicide; police are meanwhile searching for both suspects, authorities said.","Cornell-Duranleau was pronounced dead on the scene and detectives are investigating the stabbing as a homicide while police actively search for the two suspects, officials said.",95.0,0.859286515079507
cs-en,"Hráči Bruins by měli hotel obsadit počínaje tímto týdnem, ale Mora uznává, že až se pokoje vyprázdní během sezóny, mohl by nastat problém.","Bruins players should occupy the hotel starting this week, but Mora acknowledges that when the rooms are emptied during the season, there could be a problem.","Bruins players are scheduled to occupy the hotel beginning this weekend, but Mora acknowledged that there could be an issue once those rooms are vacant during the season.",100.0,0.996255741165724
cs-en,"Pan Brabec tvrdí, že to takhle neřekl.",Mr. Brabec says he didn't put it that way.,Mr. Brabec claims that he did not say that.,94.0,0.692204122510918
cs-en,"Určitou dobu si lidé mysleli, že TSA bude nakládat s knihami stejným způsobem jako s pašovaným zbožím.","For a time, people thought the TSA would dispose of the books in the same way it did with smuggled goods.","For a time, people thought the TSA might be treating books as contraband.",74.0,0.006662138914087
cs-en,Nic o tom nevím.,I don't know anything about it.,I don't know anything about that.,89.0,0.647026852303044
cs-en,"Kromě skvělé hudby uvidíte budování keltské vesničky, vyzkoušíte si keltský způsob života včetně řemesel, her pro děti i dospěláky, věštění, magie či rituálního malování na tělo.","In addition to great music, you will see the building of a Celtic village, try the Celtic way of life including crafts, games for children and adults, divination, magic or ritual painting on the body.","In addition to excellent music, you'll see a Celtic village being built and experience the Celtic lifestyle, including crafts, games for children and adults, divination, magic and ritual body painting.",78.5,0.500220655816563
cs-en,"Ráno 15. května opustil Valdez ústředí Riodoce v Culiacánu, hlavním městě Sinaloy.","On the morning of May 15, Valdez left the headquarters of Riodoce in Culiacán, the capital of Sinaloa.","On the morning of May 15, Valdez left the Riodoce office in the state capital of Culiacan.",100.0,0.996255741165724
cs-en,"ČEZ má vzít Dukovany, ocenit je, strčit je do dceřiné společnosti, zařídit financování, udělat dodavatelskou soutěž nebo sehnat koinvestora a postavit nový jaderný blok.","CEZ is supposed to take the Dukovans, appreciate them, push them into a subsidiary, arrange financing, do a supply competition or get a co-investor and build a new nuclear bloc.","ČEZ should take Dukovany, value it, stick it into a subsidiary, arrange financing, hold a tender for the supplies or get a co-investor and build a new nuclear block.",75.0,0.217370145751304
cs-en,Smrt ale nebyla pro ni a její komunitu nic nového.,But death was nothing new to her and her community.,But death was nothing new for her and her community.,100.0,1.12290797105292
cs-en,Učitelky sprchují děti.,Teachers shower children.,Teachers hose down children.,67.5,0.248138555082695
cs-en,Pistorius byl usvědčen z vraždy po odvolání proti původnímu rozsudku za zabití.,Pistorius was convicted of murder after an appeal against the original manslaughter conviction.,Pistorius was convicted of murder after an appeal by prosecutors against an initial manslaughter verdict.,95.0,0.958354709324061
cs-en,"Poslední publikované účetní uzávěrky ukazují, že PSG uzavřelo rok 2015-2016 s čistým ziskem 10 milionů EUR a obratem 542,4 milionů EUR.",The latest published accounts show PSG closed 2015-2016 with a net profit of €10 million and a turnover of 542.4 million.,The last published accounts show that PSG made a profit of more than 10 million euros in 2015-16 on a turnover of 542.4 million euros.,72.0,0.553827844991794
cs-en,Tento fakt se přísluší připomenout.“,"This fact must be remembered. ""","So, of course, it's appropriate to highlight that.""",71.0,0.519131765301839
cs-en,Vražda novináře zdůrazňuje narůstající hrozby v Mexiku,Journalist's murder highlights mounting threats in Mexico,A journalist's murder underscores growing threat in Mexico,71.5,0.289818175271864
cs-en,"Společnost v prohlášení na svých webových stránkách píše, že začne používat aktualizované strojové učení k detekci možných hoaxů, jež bude zasílat třetím stranám k ověření a potenciálně zobrazovat výsledky průzkumu pod původními příspěvky.","The company says in a statement on its website that it will start using updated machine learning to detect possible hoaxers, which it will send to third parties to verify and potentially display survey results below original contributions.","The company said in a statement on its website it will start using updated machine learning to detect possible hoaxes and send them to fact checkers, potentially showing fact-checking results under the original article.",90.0,1.178357279411
cs-en,"""Neradi bychom o ně přišli,"" řekl ošetřovatel Miroslav Dohnal s tím, že to může trvat i rok či dva.","""We'd hate to lose them,"" said zookeeper Miroslav Dohnal, saying it could take a year or two.","""We wouldn't want to lose them,"" said the carer Miroslav Dohnal, adding that it could take a year or two.",67.5,0.575823009331529
cs-en,Připravila nám ji Dagmar Štěpánová ze studia FormaFatal.,It was prepared by Dagmar Stephen from the FormaFatal studio.,Dagmar Štěpánová from the FormaFatal studio made it for us.,79.3333333333333,0.8248482879609
cs-en,"Trump v rozhovoru řekl, že financování se nějak zařídí, i když připustil, že bude muset být zajištěno z jiných zdrojů.","Trump said in an interview that funding would somehow be arranged, though he admitted it would have to be secured from other sources.","During the conversation, Trump said that he would arrange the financing somehow, although he admitted that it would have to be secured from other sources.",100.0,1.52531807631056
cs-en,"Nejlepší kamarád Karla Gotta bojuje s nemocí, která ukradne lidem všechny vzpomínky.",Karl Gott's best friend is battling a disease that will steal people's memories.,Karel Gott's best friend is fighting against the disease that robs people of all their memory.,87.5,0.880096239768386
cs-en,"Byly to krásné časy, na které nezapomenu.“",These were beautiful times I won't forget.',"It was a really special time and one we will always cherish.""",88.0,0.758820278087875
cs-en,"Pouze 13 zemí má s Čínou bezvízový styk, občané těch ostatních si musejí vízum vyřídit s předstihem.","Only 13 countries have visa-free travel with China, citizens of the others have to take a visa in advance.","Only 13 countries have visa-free entry to China, while the citizens of the others have to organise visas in advance.",55.0,0.0274827361118778
cs-en,Vraždy očividně fungují.,Murders obviously work.,"Clearly, the murders have a chilling effect.",40.5,-0.218392739823901
cs-en,Pro většinu členů týmu těchto několik minut nicnedělání supluje polední pauzu.,"For most members of the team, these few minutes of doing nothing substitute the lunch break.","For a good chunk of the team, these idle minutes constitute a midday break.",78.0,0.996713045039289
cs-en,Z procesních důvodů však už nebylo možné soudit Tomana za celou částku.,"However, for procedural reasons, it was no longer possible to judge Toman for the full amount.","For procedural reasons, it was no longer possible to try Toman for the full amount.",88.0,1.41811752718164
cs-en,Sebastian Coe chválí „upřímnou“ omluvu Ruska za dopingový skandál,Sebastian Coe praises Russia's' sincere 'apology for doping scandal,Coe praises 'candid' Russian apology for doping scandal,52.0,-0.0989386085308281
cs-en,"Dalšími jsou Nikaragua, Dominikánská republika, Salvador, Haiti, Malta a Honduras.","Others are Nicaragua, the Dominican Republic, El Salvador, Haiti, Malta and Honduras.","The others are Nicaragua, the Dominican Republic, El Salvador, Haiti, Malta and Honduras.",95.5,1.01056298107258
cs-en,Dát ho opačně vyžadovalo značné úsilí s nutností odlomení jistých plastových součástí.,Putting it in reverse required considerable effort with the need to break off certain plastic components.,Doing it the other way round required a considerable effort and involved breaking the plastic parts.,55.0,-0.23488914094999
cs-en,"Bývalý manažer Zaccheo Giovanni Pamio je italské národnosti a nevztahuje se na něj tedy extradice, může tedy čelit soudnímu procesu ve Spojených státech.","Former Zaccheo manager Giovanni Pamio is of Italian nationality and is therefore not subject to extradition, so he may face trial in the United States.","The former manager, Zaccheo Giovanni Pamio, is Italian, and therefore is not protected from extradition and could face trial in the United States.",47.0,-0.494820382638283
cs-en,Policie celou scénu popsala jako velmi násilnou.,Police described the whole scene as very violent.,Police described the scene as very gruesome.,99.0,1.19473268833562
cs-en,Dívka vyrazila k pláži v neděli zhruba kolem druhé hodiny ranní.,The girl headed for the beach on Sunday at about 2 a.m.,The girl set off to the beach at around 2 o'clock in the morning on Sunday.,95.0,1.06476706749147
cs-en,Pochodeň nemá osvětlovat cestu do Spojených států.“,"The torch is not meant to illuminate the path to the United States. ""","The torch is not to light the way to the United States.""",75.0,0.4919941424636
cs-en,"Když Bardina Degeiová vaří večeři, nepoužívá přitom sporák.","When Bardina Degei cooks dinner, she doesn't use the stove.","When Bardina Degei cooks dinner, she doesn't use a stove.",99.0,1.19473268833562
cs-en,"Příjemné je, že za designem některých stojí Češka, a sice populární designérka Anna Marešová.","What is pleasant is that the Czech Republic is behind the design of some, namely the popular designer Anna Marešová.","It's enjoyable to know that a Czech woman was behind the design, specifically the popular designer Anna Marešová.",48.0,-0.606462075334798
cs-en,"Zvláště povedený byl náčrtek s popisem, jak zasunout jeden díl do druhého.",Especially taken was a sketch with a description of how to insert one piece into another.,The drawing with a description of how to insert one piece into another was especially charming.,18.0,-1.58652466213159
cs-en,"Dodal, že případný konflikt s Ruskem by Tuskovi zmařil šance na získání nejdůležitějšího křesla v unii, ze kterého ovšem Polsko naprosto nic nemá.","He added that any conflict with Russia would frustrate Tusk's chances of getting the most important chair in the union, from which Poland has absolutely nothing.","He added that a possible conflict with Russia could have affected Tusk's chances of reaching the most important seat in the Union, which Poland absolutely does not have.",88.0,0.70028804039426
cs-en,"Františka Savova viní policie z daňových úniků v souvislosti s nadměrnými odpočty DPH jeho firem, jimiž způsobil českému státu údajnou škodu až 770 miliónů korun.","Francis Savova blames the police for tax evasion in connection with the excessive VAT deductions of his companies, which caused the Czech State alleged damage of up to CZK 770 million.","The police accuses František Savov of tax evasion in connection with excessive VAT deductions for his companies, which caused the Czech state damages of up to 770 million crowns.",51.0,-0.508455816655118
cs-en,"Ústavní soud v Chile má deset členů a koncem srpna by měl dostat nového předsedu, který je podle AFP blízký opozici.","The Constitutional Court in Chile has ten members and in late August should get a new chairman who is close to the opposition, according to AFP.","The Constitutional Court in Chile has ten members, and at the end of August it should get a new president, who is close to the opposition according to the AFP.",52.0,-0.487155801879635
cs-en,"Jelikož se však nezúčastnil týmového předsezónního asijského turné, Matić neměl formu a odehrál jen 45 minut, na čemž je podle slov Mourinha třeba před začátkem další sezóny Premier League zapracovat.","However, as he did not take part in the team's pre-season Asian tour, Matić did not take form and played just 45 minutes, which, in the words of Mourinha, is needed before the start of the next Premier League season.","However, having been left out of the Blues' preseason tour of Asia, Matic was severely lacking match fitness and only managed 45 minutes, something Mourinho admitted needed to be improved before the start of the Premier League season.",84.0,0.408902044725022
cs-en,"Nikdy nevíte, co se vám může stát.",You never know what can happen to you.,You never know what can happen to you.,100.0,1.09231307511298
cs-en,"„Když může mít žena vibrátor, proč by nemohl mít muž Roxxxy?“ píše se na stránce.","""If a woman can have a vibrator, why couldn't a man have Roxxxy?"" The page reads.","""If woman (sic) can have a vibrator, why can't men have a Roxxxy?"" the website states.",65.0,-0.220672237942409
cs-en,"Pláž, koupání a chytrý telefon v ruce.","Beach, bathing and smart phone in hand.","Beach and bathing, smart phone in hand.",88.0,0.70028804039426
cs-en,Češky a Češi nejsou nijak pruderní.,Czechs and Czechs are not prudish.,Czech men and women aren't at all prudish.,61.5,-0.16702436750263
cs-en,Spilková je po prvním kole British Open na padesátém místě.,Spilk is in 50th place after the first round of the British Open.,Spilková is in fiftieth place after the first round of the British Open.,57.0,-0.0918684235497225
cs-en,Golfistka Klára Spilková figuruje po prvním kole majoru British Open na děleném 50. místě.,Golfer Clara Spilk figures after the first round of the majors British Open in a divided 50th place.,Golfer Klára Spilková is ranked in 50th place after the first round of the British Open.,24.0,-1.20962655928963
cs-en,"Sám nevím, jak se bude můj stav vyvíjet a kdy bych mohl hrát konečně od začátku.",I don't know myself how my condition is going to evolve and when I could play at last from the start.,I myself don't know how my position will develop and when I will be able to play from the beginning.,97.0,1.0495993014735
cs-en,"Folayanová již navázala spolupráci se spolurežisérem Damonem Davisem, který je uznávaným místním umělcem, jenž se zabývá tématem vězňů v cele smrti.","Folayan has already established a collaboration with co-director Damon Davis, who is a respected local artist who deals with the subject of prisoners on death row.","Folayan had already linked up with co-director Damon Davis, an area artist known for his activism around death row inmates.",100.0,1.11567163093742
cs-en,"Lidé často nevědí, jaké tekutiny a v jakém množství mohou do letadla pronášet.",People often don't know what fluids and in what quantities they can deliver on the plane.,People are often uncertain of what liquids they can carry or how much of them.,80.0,0.729194706193776
de-en,Das Publikum ist fast gleichmäßig zwischen Schwarz und Weiß aufgeteilt.,The audience is almost evenly split between black and white.,The audience is almost evenly split between black and white.,99.5,0.970839129075777
de-en,"Du kannst ihre Energie durch den Bildschirm spüren.""","You can feel their energy through the screen. """"","You can feel her energy through the screen.""",80.6666666666667,0.256703691523479
de-en,"Da die Adresse unbekannt ist, wird die Mithilfe der Bevölkerung erbeten und erhofft.","As the address is unknown, the help of the population is requested and hoped for.","As the address is unknown, the assistance of the population is being requested and hoped for.",89.6666666666667,0.887826348036053
de-en,"Arsenal-Manager Arsene Wenger, dessen Verein im Besitz eines amerikanischen Sport-Tycoons ist, teilt die Vorbehalte von La Liga gegen einen Staat, der einen Verein finanziert.","Arsenal manager Arsene Wenger, whose club is owned by an American sports tycoon, shares La Liga's reservations about a state funding a club.","Arsenal manager Arsene Wenger, whose club is owned by an American sports tycoon, shares La Liga's reservations about a state funding a club.",100.0,1.4614885904276
de-en,"Landwirtschaftsminister im Interview - Wie schützen wir uns vor Gifteiern, Herr Schmidt?","Agriculture Minister in the interview - How do we protect ourselves from poison ponds, Mr Schmidt?","Minister of Agriculture in interview – How do we protect ourselves against poisoned eggs, Mr Schmidt?",56.0,-0.313921207724962
de-en,Audi soll 850.000 Dieselfahrzeuge verändern - Autohersteller sehen sich mit einer Gegenreaktion konfrontiert,"Audi to change 850,000 diesel vehicles - carmakers face a backlash","Audi to Modify Up to 850,000 Diesel Vehicles as Carmakers Face Backlash",94.0,0.704234825806832
de-en,Und die Galerie passt nicht nach Bitburg.,And the gallery doesn't fit Bitburg.,And the Galerie doesn't suit Bitburg.,82.5,0.909491906534247
de-en,"Der blaue ""Betriebsbogen"" ist nur auszufüllen, wenn im Gebäude Geschäftsräume betrieben werden.","The blue ""operating arch"" can only be filled out if business premises are operated in the building.","The blue ""business survey"" is only filled out if business premises operate in the building.",64.5,-0.0966771484043095
de-en,"Anfang des Jahres wurden die französischen Journalisten Franck Escudie und Basille Longchamp wegen mangelnder Koordination mit verwandten Institutionen aus Papua deportiert, obwohl ihnen die seltene Erlaubnis zum Filmen gegeben wurde.","Earlier this year, French journalists Franck ESCUDEN and Basille Longchamp were deported from Papua for lack of coordination with related institutions, although they were given rare permission to film.","Earlier this year, French journalists Franck Escudie and Basille Longchamp were deported from Papua for a ""lack of coordination with related institutions"" despite having been granted rare permission to film.",92.6666666666667,0.518715514843885
de-en,Die direkte Anbindung der Küchenkraft ans Team sei da sinnvoll.,The direct connection of the kitchen power to the team makes sense.,Directly linking the kitchen staff to the team makes sense then.,88.0,0.444932750461516
de-en,Ungefähr hundert Meter dahinter wischt sich eine Gruppe von etwa vier Dutzend Zuschauern Schweiß und Tränen aus den Augen.,"Roughly a hundred feet behind it, a group of about four dozen spectators sweat and tears from their eyes.","A hundred yards back, a group of about four dozen spectators wipe sweat and tears away from their eyes.",50.5,-0.488067740244418
de-en,Zehn Stücke Nota kosteten nur 10.000 indonesische Rupien (75 Cents).,"Ten pieces of Nota cost only 10,000 Indonesian rupees (75 cents).","Ten pieces of nota cost only 10,000 Indonesian rupiah (75 cents).",93.0,0.827077382412437
de-en,"Man hoffe, dass damit die Aufforstung der Flächen noch eine ganze Weile hinausgezogen werden könnte.",It is hoped that the reforestation of the land could be dragged out for quite some time.,"One hopes that with that, afforestation of the area could then be drawn out for a long while.",79.6666666666667,0.0548033005311264
de-en,"Letztere sagte am Donnerstag, dass die neuen Regeln als unnötig, aber akzeptabel angesehen würden, da sie keine ""wesentlichen Änderungen oder Behinderungen"" ihrer Rettungsaktionen mit sich bringen würden.","The latter said Thursday that the new rules would be considered unnecessary but acceptable, as they would not involve ""significant changes or obstructions"" of their bailouts.","The latter said on Thursday it regarded the new rules as unnecessary but acceptable as they would not involve any ""significant change or impediment"" to its rescue operations.",81.5,0.555468538971983
de-en,"""Die Umkehr der EPA - nach unseren Klagen - ist ein wichtiger Gewinn für die Gesundheit und die Sicherheit von diesen 6,7 Millionen New Yorkern und die über 115 Millionen Amerikaner, die direkt vom Smog betroffen sind, der in ihre Gemeinden strömt"", sagte Schneiderman.","""The EPA's reversal - after our lawsuits - is an important gain for the health and safety of these 6.7 million New Yorkers and the over 115 million Americans directly affected by the smog that flows into their communities,"" Schneiderman said.","""The EPA's reversal - following our lawsuits - is an important win for the health and safety of those 6.7 million New Yorkers, and the over 115 million Americans directly impacted by smog pouring into their communities,"" Schneiderman said.",100.0,1.09556743754594
de-en,Trumps große Leistung?,Trump's Great Performance?,Trump's great feat?,35.6666666666667,-0.692738850611584
de-en,"Der hohe Anteil von Fällen, in der die Person als über 18 Jahre beurteilt wurde, bedeutet nicht unbedingt, dass der Asylbewerber über sein Alter gelogen hat.",The high proportion of cases in which the person was judged to be over 18 does not necessarily mean the asylum seeker lied about his age.,The high proportion of cases judged to be over 18 does not necessarily mean that the asylum seeker lied about their age.,88.5,0.393144634918684
de-en,"Denn Kontinuität sei nicht nur wichtig für ein gutes Betriebsklima, sondern auch für die weitere Gestaltung der Stadt.","Because continuity is important not only for a good operating climate, but also for the further design of the city.","For continuity is important not only for a good working atmosphere, but also for the future design of the city.",99.0,1.35192565993858
de-en,"Die alten Regeln, wie er und andere sagen, gelten in Sinaloa nicht mehr - genauso nicht wie in Tamaulipas, Veracruz, Guerrero und anderen Staaten, in denen eine giftige Mischung aus lukrativen Schmuggelrouten, schwachen Institutionen und korrupten Regierungsbeamten zuhause ist.","The old rules, as he and others say, no longer apply in Sinaloa - just as they do in Tamaulipas, Veracruz, Guerrero, and other states where a toxic mix of lucrative smuggling routes, weak institutions, and corrupt government officials is at home.","The old rules, he and others say, no longer apply in Sinaloa - just as they don't in Tamaulipas, Veracruz, Guerrero and other states that are home to a toxic mix of lucrative smuggling routes, weak institutions and corrupt government officials.",61.3333333333333,-0.456279890347969
de-en,Am zweiten Tag ging es nach Bad Dürkheim zur Saline und zum Volksfest Wurstmarkt.,On the second day it went to Bad Dürkheim to the Saline and the folk festival sausage market.,"On the second day, they went to Bad Dürkheim, to the salt works and to the Wurstmarkt festival.",40.5,-0.731236286239084
de-en,Der TC Blau-Weiss Neuss tritt morgen ab 11 Uhr in Kiel beim Tabellendritten Suchsdorfer SV an.,The TC Blau-Weiss Neuss will take place tomorrow from 11 a.m. in Kiel at the table of Suchsdorfer SV.,"TC Blau-Weiss Neuss is competing tomorrow in Kiel, from 11am, at third-in-table Suchsdorfer SV.",32.0,-1.82272604534805
de-en,"""Und wir schützen unsere Aktionäre vor Beschäftigungs- Rechtsstreitigkeiten.""","""And we protect our shareholders from employment litigation.""","""And we're protecting our shareholders from employment litigation.""",97.0,0.781916162288006
de-en,"Verteidigungsministerin von der Leyen bezeichnete die umgekommenen Soldaten als ""hoch dekoriert"" und einsatzerfahren.","Defence Minister von der Leyen described the killed soldiers as ""highly decorated"" and deployed.","Defence minister von der Leyen described the killed soldiers as ""highly decorated"" and experienced in missions.",77.0,0.0181204396774171
de-en,"Das löste Spekulationen darüber aus, ob Trump Mueller entlassen wolle.",That sparked speculation about whether Trump wanted to sack Mueller.,This gave rise to speculations about whether Trump wanted to dismiss Mueller.,82.6666666666667,0.57397090939747
de-en,"Zudem fehlen den Münchnern Manuel Neuer, James, Thiago, Jerome Boateng, Arjen Robben und Juan Bernat.","Also missing are the mouths of Manuel Neuer, James, Thiago, Jerome Boateng, Arjen Robben and Juan Bernat.","In addition, the Munich team is missing Manuel Neuer, James, Thiago, Jerome Boateng, Arjen Robben and Juan Bernat.",69.5,-0.0790126680755515
de-en,"Aber es ist höchst ungerecht, einen Mann, nur weil er prominent ist und einen noch prominenteren Bruder hat, zum medialen Sündenbock zu machen.","But it is highly unfair to make a man, just because he is prominent and has an even more prominent brother, a media scapegoat.",But it is highly unjust to make a media scapegoat out of a man just because he is prominent and has an even more prominent brother.,99.0,1.00490356539165
de-en,"Diese Wiederholung der Geschichte ist gleichzeitig nostalgisch wegen der glorreichen Tage der Charaktere der 80-er Jahre, für die 90-er-Jahre-Grunge-Ära (als die Vordenker David Wain und Michael Showalter die Sketch-Komödie ""The State"" für MTV drehten), und für sich selbst - das heißt, für 2001, bevor ihre Stars, wie Elizabeth Banks, Amy Poehler und Paul Rudd zu größeren Dingen gingen.","This repetition of history is simultaneously nostalgic for the glorious days of the characters of the eighties, for the 90-year-old grunge era (when the forebears David Wain and Michael Showalter turned the sketch comedy ""The State"" for MTV), and for themselves - that is, for 2001, before their stars, such as Elizabeth Banks, Amy Poehler and Paul Rudd, went to bigger things.","So this iteration of the story is simultaneously nostalgic for the characters' '80s glory days; for the '90s grunge era (around when the masterminds David Wain and Michael Showalter made the sketch comedy ""The State"" for MTV); and for itself - that is, for 2001, before its stars, like Elizabeth Banks, Amy Poehler and Paul Rudd, went on to bigger things.",66.5,0.0411167013884935
de-en,"""Was?!"", fragte Rascona.","""What?!"" Asked Rascona.","""What?!,"" Rascona asked.",96.0,0.989503620047734
de-en,"Spieler, die sich zu den Sommerkursen eingeschrieben sind, werden nach der dreistündigen Übung zu ihren Abschlussprüfungen zurückkehren, bevor sie am nächsten Morgen um 6:30 Uhr zum Wasserman Football Center zurückkehren.",Players enrolled to the summer courses will return to their final exams after the three-hour exercise before returning to the Wasserman Football Center the next morning at 6: 30 a.m.,Players enrolled in summer classes will head back to their dorms after the three-hour practice to study for final exams before returning to the Wasserman Football Center for meetings at 6:30 the following morning.,39.0,-0.991896229010294
de-en,Doch wichtiger ist allemal der Werbeeffekt: Für einen Schoggihersteller ist es ein prestigeträchtiger Auftrag.,"But what's more important is the advertising effect: For a shock manufacturer, it's a prestigious assignment.","However, more important is always the advertising effect: for a chocolate producer, it is a prestigious contract.",54.5,-0.93367973803918
de-en,"Es war eine wirklich besondere Zeit und eine, die wir immer schätzen werden.""",It was a really special time and one we'll always cherish.',"It was a really special time and one we will always cherish.""",100.0,0.961694544145868
de-en,Der Anführer des Mobs - ein Mann mittleren Alters in einem Nadelstreifenanzug - nahm einen langen Zug an seiner Zigarre und blickte prüfend durch die Windschutzscheibe.,The leader of the mob - a middle-aged man in a needle strike suit - took a long turn at his cigar and glanced checking through the windshield.,The leader of the mob - a middle aged man in a pinstriped suit - took a long drag on his cigar and peered through the windshield.,63.5,0.204817667159824
de-en,"Andere Geschichten sind fest in der Geschichte des Schlosses verwurzelt - wie 'The Priest', die die Geschichte des Jesuitenpaters erzählt, den die Familie Darrell sieben Jahre lang während der englischen Reformation versteckte.","Other stories are firmly rooted in the history of the castle - such as' The Priest ', which tells the story of the Jesuit patron that the Darrell family hid for seven years during the English Reformation.","Other stories are rooted firmly in the history of the castle - such as The Priest, which tells the tale of the Jesuit priest whom the Darrell family hid for seven years during the English Reformation.",97.0,0.951842999040935
de-en,Hat die PSG Barcelona vor drei Jahren vor Neymar gewarnt?,Did PSG warn Barcelona about Neymar three years ago?,Did PSG warn Barcelona about move for Neymar three years ago?,87.5,1.08907282978976
de-en,"Gerade deswegen sind eine konsequente Aufklärung solcher Geschehen und die Übergabe an die Staatsanwaltschaften in den Fällen, in denen Straftaten vorliegen können, von entscheidender Bedeutung.",It is precisely for this reason that a consistent investigation of such events and the handover to public prosecutors in cases where crimes can be committed are of crucial importance.,It is for precisely this reason that it is so crucially important to have such occurrences thoroughly cleared up and passed over to public prosecutors in cases where crimes could have committed.,77.0,0.038407094598482
de-en,"Er hat seit Jahren die Rolle des Chef-Clanmitglieds gespielt, aber er sagte, die Rolle werde nie einfacher.","He has played the role of chief clan member for years, but he said the role will never be easier.","He's played the part of the head Klansman for years, but he said the role never gets any easier.",90.0,0.360657118949285
de-en,"""Der reale Fußball muss sich insbesondere mit den 14 bis 30-Jährigen auseinandersetzen, dass die jungen Leute auch in Zukunft noch ins Stadion gehen"", sagt der 52-Jährige.","""Real football has to deal in particular with the 14 to 30-year-olds that young people are still going to the stadium in the future,"" says the 52-year-old.","""Real football has to deal in particular with the 14-30 year olds, so that the young people still go to the stadium in the future,"" says the 52-year-old.",100.0,0.718803206121492
de-en,"""Die Polizei hat eine Vorstellung von ihrem Aufenthaltsort, und unsere Bemühungen, sie zu lokalisieren, verstärken sich"", sagte Guglielmi.","""The police have an idea of their whereabouts, and our efforts to locate them are intensifying,"" Guglielmi said.","""Police have an idea of their whereabouts but our efforts to locate that are intensifying,"" Guglielmi said.",78.5,0.195990010386975
de-en,Reisende verhandeln über einen Graben und kehren zurück zur 'Millionärs-Reihe',Travellers negotiate a ditch and return to 'millionaire' row,"Travellers negotiate trench, return to 'Millionaire's row'",94.0,0.490348964161754
de-en,"Interview: ""Domspatzen-Bericht entlastet Papst-Bruder Georg Ratzinger""","Interview: ""Domspatzen report relieves Pope's brother George Ratzinger""","Interview: ""Domspatzen report exonerates Pope brother Georg Ratzinger""",100.0,1.12005771056573
de-en,In der Westantarktis hat sich ein gigantischer Eisberg von der knapp siebenfachen Größe Berlins vom Schelfeis gelöst.,"In western Antarctica, a gigantic iceberg of the almost seven-fold size of Berlin has dissolved from the Schelfeis.","In the West Antarctic, a gigantic iceberg almost seven times the size of Berlin has detached from the ice shelf.",63.5,-0.498627683392602
de-en,"Die STEG vertraten am Mittwochabend Martin Keller, Gaby Pietzschmann und Sarah Gotzel.","The STEG represented Martin Keller, Gaby Pietzschmann and Sarah Gotzel on Wednesday night.","STEG was represented on Wednesday evening by Martin Keller, Gaby Pietzschmann and Sarah Gotzel.",46.0,-0.644942295970756
de-en,"Der Leiter der IAAF-Task Force, Rune Andersen, sagte am Montag, dass Russland noch einige der Kriterien für eine Wiedereinstellung erfüllen müsse.","The head of the IAAF task force, Rune Andersen, said Monday that Russia has yet to meet some of the criteria for reinstatement.","The head of the IAAF's Task Force, Rune Andersen, said on Monday that Russia had yet to meet several of the criteria for reinstatement.",85.6666666666667,0.810708835614835
de-en,"Rotes Fleisch, Milchprodukte und Schokolade könnten helfen, IBD (Entzündliche Darmerkrankung) zu lindern","Red meat, dairy products and chocolate could help alleviate IBD (inflammatory bowel disease)","Red meat, dairy, and chocolate could help relieve IBD",65.0,-0.0209832343731311
de-en,"Um die nutzen zu können, müssen allerdings einige Voraussetzungen erfüllt werden: Man braucht ein Smartphone oder ein Tablet.","In order to be able to use them, however, some requirements must be met: You need a smartphone or a tablet.","In order to use it, however, a few conditions must be met: you need a smartphone or a tablet.",94.6666666666667,0.913706346522646
de-en,"Die Stadt betreibt im Krefelder Gebiet 46 Kindertagesstätten, in 44 bekommen die Kinder zur Mittagszeit eine warme Mahlzeit.","The city operates 46 nurseries in the Krefeld area, and in 44 the children get a warm meal at lunchtime.","The city operates 46 nurseries in the district of Krefeld; in 44 of these, the children get a warm meal at midday.",81.5,0.730722671966245
de-en,"""Sie müssen die Aufgabe übernehmen, die Ihnen als Journalist zufällt - entweder das oder Sie spielen den Dummen.",'you have to take on the task that falls to you as a journalist - either that or you play the dumb.,"""You have to assume the task that falls to you as a journalist - either that or you play dumb.",95.0,0.8601606913632
de-en,"Etwas mehr als eine Stunde dauert die AfD-Veranstaltung, die Gäste auf dem Vorplatz haben einen längeren Atem, aber auch dort ist kurz nach 21 Uhr aufräumen angesagt.","A little more than an hour takes the AfD event, guests on the front seat have a longer breath, but even there is scheduled to clean up shortly after 9pm.","The AfD event lasts a little more than an hour; the guests in the forecourt have a long wind, but even there it is time to clear up shortly after 9pm.",59.0,-0.217451744848793
de-en,"Jose Mourinho glaubt, dass Manchester United mit Nemanja Matic ein ""Genie"" verpflichtet hat","Jose Mourinho believes Manchester United have committed a ""genius"" with Nemanja Matic",Jose Mourinho thinks Manchester United have signed a 'genius' in Nemanja Matic,76.0,0.043640044594491
